Index,Movie Title,Release Date,Runtime,Age Rating,Genre(s),Review Rating
0,The Irishman: In Conversation,27 November 2019 (USA),23min,TV-MA,"['\nDocumentary, \nShort\n']",7.4/10
1,The Irishman,27 November 2019 (USA),3h 29min,R,"['\nBiography, \nCrime, \nDrama\n']",7.9/10
2,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,12 June 2019 (USA),2h 22min,TV-MA,"['\nDocumentary, \nBiography, \nHistory\n']",7.7/10
3,Silence,13 January 2017 (USA),2h 41min,R,"['\nDrama, \nHistory\n']",7.2/10
4,Vinyl,TV Series (2016),1h,TV-MA,"['\nDrama, \nMusic\n']",7.8/10
5,The Audition,27 October 2015 (China),16min,Not Rated,"['\nShort, \nComedy\n']",6.6/10
6,The 50 Year Argument,29 January 2015 (Denmark),1h 37min,N/A,['\n29 January 2015 (Denmark)'],6.5/10
7,The King of Comedy: Deleted and Extended Scenes,Video 25 March 2014,38min,N/A,['\nVideo 25 March 2014'],6.7/10
8,The Wolf of Wall Street,25 December 2013 (USA),3h,R,"['\nBiography, \nCrime, \nDrama\n']",8.2/10
9,Hugo,23 November 2011 (USA),2h 6min,PG,"['\nDrama, \nFamily, \nFantasy\n']",7.5/10
10,George Harrison: Living in the Material World,4 October 2011 (UK),3h 28min,Not Rated,"['\nDocumentary, \nBiography, \nMusic\n']",8.2/10
11,Public Speaking,22 November 2010 (USA),1h 24min,N/A,['\n22 November 2010 (USA)'],7.6/10
12,Boardwalk Empire,TV Series (2010–2014),55min,TV-MA,"['\nCrime, \nDrama, \nHistory\n']",8.5/10
13,A Letter to Elia,4 October 2010 (USA),1h,Not Rated,['\nDocumentary\n'],7.5/10
14,Shutter Island,19 February 2010 (USA),2h 18min,R,"['\nMystery, \nThriller\n']",8.2/10
15,Shine a Light,4 April 2008 (Austria),2h 2min,PG-13,"['\nDocumentary, \nBiography, \nMusic\n']",7.2/10
16,The Key to Reserva,14 December 2007 (Spain),10min,N/A,['\n14 December 2007 (Spain)'],7.9/10
17,The Departed,6 October 2006 (USA),2h 31min,R,"['\nCrime, \nDrama, \nThriller\n']",8.5/10
18,American Masters,TV Series (1985– ),1h 30min,TV-14,"['\nDocumentary, \nBiography\n']",8.0/10
19,The Aviator,25 December 2004 (USA),2h 50min,PG-13,"['\nBiography, \nDrama\n']",7.5/10
20,Lady by the Sea: The Statue of Liberty,TV Movie 14 January 2004,55min,Not Rated,['\nDocumentary\n'],6.0/10
21,Michael Jackson: Number Ones,Video 18 November 2003,1h 31min,N/A,['\nVideo 18 November 2003'],8.7/10
22,The Blues,TV Series (2003),N/A,"Documentary, ",N/A,8.1/10
23,Gangs of New York,20 December 2002 (USA),2h 47min,R,"['\nCrime, \nDrama\n']",7.5/10
24,The Neighborhood,Short,N/A,Short,N/A,6.4/10
25,The Concert for New York City,TV Special 20 October 2001,4h 56min,N/A,['\nTV Special 20 October 2001'],6.0/10
26,Bringing Out the Dead,22 October 1999 (USA),2h 1min,R,"['\nDrama, \nThriller\n']",6.8/10
27,My Voyage to Italy,16 May 2002 (France),4h 6min,PG-13,['\nDocumentary\n'],8.2/10
28,Kundun,16 January 1998 (USA),2h 14min,PG-13,"['\nBiography, \nDrama, \nHistory\n']",7.0/10
29,Michael Jackson: Video Greatest Hits - HIStory,Video 16 June 1995,1h 29min,N/A,['\nVideo 16 June 1995'],8.7/10
30,Century of Cinema,TV Series (1995–1998),N/A,Documentary,N/A,7.5/10
31,Casino,22 November 1995 (USA),2h 58min,R,"['\nCrime, \nDrama\n']",8.2/10
32,The Age of Innocence,1 October 1993 (USA),2h 19min,PG,"['\nDrama, \nRomance\n']",7.2/10
33,The King of Ads,1991 (France),1h 14min,N/A,['\n1991 (France)'],5.4/10
34,Cape Fear,15 November 1991 (USA),2h 8min,R,"['\nCrime, \nThriller\n']",7.3/10
35,Made in Milan,Documentary,20min,N/A,N/A,6.1/10
36,Goodfellas,21 September 1990 (USA),2h 26min,R,"['\nBiography, \nCrime, \nDrama\n']",8.7/10
37,New York Stories,10 March 1989 (USA),2h 4min,PG,"['\nComedy, \nDrama, \nRomance\n']",6.4/10
38,Location Production Footage: The Last Temptation of Christ,Video,15min,N/A,['\nVideo'],6.7/10
39,The Last Temptation of Christ,9 September 1988 (UK),2h 44min,R,['\nDrama\n'],7.5/10
40,Michael Jackson: Bad,Video 31 August 1987,18min,PG,"['\nShort, \nCrime, \nDrama\n']",7.9/10
41,The Color of Money,17 October 1986 (USA),1h 59min,R,"['\nDrama, \nSport\n']",7.0/10
42,Amazing Stories,TV Series (1985–1987),30min,PG,"['\nAdventure, \nComedy, \nDrama\n']",7.4/10
43,After Hours,11 October 1985 (USA),1h 37min,R,"['\nComedy, \nCrime, \nDrama\n']",7.7/10
44,The King of Comedy,18 December 1982 (Iceland),1h 49min,PG,"['\nComedy, \nCrime, \nDrama\n']",7.8/10
45,Raging Bull,19 December 1980 (USA),2h 9min,R,"['\nBiography, \nDrama, \nSport\n']",8.2/10
46,American Boy: A Profile of - Steven Prince,October 1978 (USA),55min,Not Rated,['\nDocumentary\n'],7.3/10
47,The Last Waltz,26 April 1978 (USA),1h 57min,PG,"['\nDocumentary, \nBiography, \nMusic\n']",8.2/10
48,"New York, New York",21 June 1977 (USA),2h 35min,PG,"['\nDrama, \nMusic, \nMusical\n']",6.7/10
49,Taxi Driver,9 February 1976 (USA),1h 54min,R,"['\nCrime, \nDrama\n']",8.3/10
50,Alice Doesn't Live Here Anymore,23 May 1975 (Italy),1h 52min,PG,"['\nDrama, \nRomance\n']",7.3/10
51,Italianamerican,October 1974 (USA),49min,Not Rated,['\nDocumentary\n'],7.5/10
52,Mean Streets,14 October 1973 (USA),1h 52min,R,"['\nCrime, \nDrama, \nThriller\n']",7.3/10
53,Boxcar Bertha,14 June 1972 (USA),1h 28min,R,"['\nCrime, \nDrama, \nRomance\n']",6.0/10
54,Street Scenes,14 September 1970 (USA),1h 15min,N/A,['\n14 September 1970 (USA)'],6.3/10
55,The Big Shave,October 1968 (USA),6min,Not Rated,"['\nShort, \nDrama, \nHorror\n']",7.0/10
56,I Call First,13 September 1968 (USA),1h 30min,R,"['\nDrama, \nRomance\n']",6.7/10
57,New York City... Melting Point,Documentary,N/A,Documentary,N/A,7.0/10
58,"It's Not Just You, Murray!",February 1964 (USA),15min,Not Rated,"['\nShort, \nComedy, \nCrime\n']",6.4/10
59,What's a Nice Girl Like You Doing in a Place Like This?,1963 (USA),9min,Not Rated,"['\nShort, \nComedy, \nDrama\n']",6.4/10
60,Vesuvius VI,Short,10min,N/A,N/A,7.4/10
