Index,Movie Title,Release Date,Runtime,Age Rating,Genre(s),Review Rating
0,Ready Player One,29 March 2018 (USA),2h 20min,PG-13,"['\nAction, \nAdventure, \nSci-Fi\n']",7.5/10
1,The Post,12 January 2018 (USA),1h 56min,PG-13,"['\nDrama, \nThriller\n']",7.2/10
2,The BFG,1 July 2016 (USA),1h 57min,PG,"['\nAdventure, \nFamily, \nFantasy\n']",6.4/10
3,Bridge of Spies,16 October 2015 (USA),2h 22min,PG-13,"['\nDrama, \nHistory, \nThriller\n']",7.6/10
4,Lincoln,16 November 2012 (USA),2h 30min,PG-13,"['\nBiography, \nDrama, \nHistory\n']",7.3/10
5,War Horse,25 December 2011 (USA),2h 26min,PG-13,"['\nAction, \nAdventure, \nDrama\n']",7.2/10
6,The Adventures of Tintin,21 December 2011 (USA),1h 47min,PG,"['\nAnimation, \nAction, \nAdventure\n']",7.3/10
7,A Timeless Call,27 August 2008 (USA),7min,N/A,['\n27 August 2008 (USA)'],5.5/10
8,Indiana Jones and the Kingdom of the Crystal Skull,22 May 2008 (USA),2h 2min,PG-13,"['\nAction, \nAdventure\n']",6.1/10
9,Munich,6 January 2006 (USA),2h 44min,R,"['\nAction, \nDrama, \nHistory\n']",7.5/10
10,War of the Worlds,29 June 2005 (USA),1h 56min,PG-13,"['\nAdventure, \nSci-Fi, \nThriller\n']",6.5/10
11,The Terminal,18 June 2004 (USA),2h 8min,PG-13,"['\nComedy, \nDrama, \nRomance\n']",7.4/10
12,Catch Me If You Can,25 December 2002 (USA),2h 21min,PG-13,"['\nBiography, \nCrime, \nDrama\n']",8.1/10
13,Minority Report,21 June 2002 (USA),2h 25min,PG-13,"['\nAction, \nCrime, \nMystery\n']",7.6/10
14,A.I. Artificial Intelligence,29 June 2001 (USA),2h 26min,PG-13,"['\nDrama, \nSci-Fi\n']",7.2/10
15,Jaws: Deleted Scenes,Video 2000,14min,N/A,['\nVideo 2000'],7.5/10
16,The Unfinished Journey,31 December 1999 (USA),21min,N/A,['\n31 December 1999 (USA)'],5.6/10
17,Saving Private Ryan,24 July 1998 (USA),2h 49min,R,"['\nDrama, \nWar\n']",8.6/10
18,Amistad,25 December 1997 (USA),2h 35min,R,"['\nBiography, \nDrama, \nHistory\n']",7.3/10
19,The Lost World: Jurassic Park,23 May 1997 (USA),2h 9min,PG-13,"['\nAction, \nAdventure, \nSci-Fi\n']",6.6/10
20,Steven Spielberg's Director's Chair,Video game released 1 November 1996,N/A,Family,N/A,5.9/10
21,Schindler's List,4 February 1994 (USA),3h 15min,R,"['\nBiography, \nDrama, \nHistory\n']",8.9/10
22,Jurassic Park,11 June 1993 (USA),2h 7min,PG-13,"['\nAction, \nAdventure, \nSci-Fi\n']",8.1/10
23,Hook,11 December 1991 (USA),2h 22min,PG,"['\nAdventure, \nComedy, \nFamily\n']",6.8/10
24,The Visionary,Video,1h 30min,N/A,['\nVideo'],4.5/10
25,Always,22 December 1989 (USA),2h 2min,PG,"['\nDrama, \nFantasy, \nRomance\n']",6.4/10
26,Indiana Jones and the Last Crusade,24 May 1989 (USA),2h 7min,PG-13,"['\nAction, \nAdventure\n']",8.2/10
27,Empire of the Sun,25 December 1987 (USA),2h 33min,PG,"['\nAction, \nDrama, \nHistory\n']",7.7/10
28,Amazing Stories,10 July 1986 (Spain),1h 51min,N/A,['\n10 July 1986 (Spain)'],7.2/10
